,team,division,score,favorites,color,subs,score_adjusted
8,Patriots,AFCE,4.799999999999999,"[['1.97', 'celebnsfw'], ['0.58', 'bustypetite'], ['0.54', 'bigtiddygothgf'], ['0.51', 'tittydrop'], ['0.33', 'bigboobsgw'], ['0.31', 'collegesluts'], ['0.24', 'traps'], ['0.18', 'bbw'], ['0.14', 'gonewild30plus']]","(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",591079,0.812074189744518
4,Tennesseetitans,AFCS,1.24,"[['1.24', 'sluttyconfessions']]","(1.0, 0.4980392156862745, 0.054901960784313725)",75485,1.6427104722792605
30,LosAngelesRams,NFCW,10.22,"[['4.69', 'celebnsfw'], ['3.38', 'discordnudes'], ['2.15', 'feetpics']]","(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)",405956,2.5175142133630244
22,panthers,NFCS,2.2700000000000005,"[['0.98', 'petitegonewild'], ['0.56', 'nude_selfie'], ['0.49', 'realgirls'], ['0.24', 'gonewild']]","(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)",89206,2.544671883057194
26,eagles,NFCE,6.819999999999999,"[['1.95', 'ratemynudebody'], ['1.60', 'discordnudes'], ['0.99', 'biggerthanyouthought'], ['0.58', 'tittydrop'], ['0.48', 'truefmk'], ['0.34', 'cock'], ['0.31', 'ratemycock'], ['0.29', 'gaybrosgonewild'], ['0.20', 'nude_selfie'], ['0.08', 'gonewild']]","(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)",219963,3.1005214513349966
9,buffalobills,AFCE,3.33,"[['0.91', 'normalnudes'], ['0.56', 'gonewild30plus'], ['0.49', 'milf'], ['0.47', 'traps'], ['0.30', 'realgirls'], ['0.23', 'chubby'], ['0.22', 'breedingmaterial'], ['0.15', 'gonewild']]","(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",106745,3.119584055459272
1,ravens,AFCN,4.08,"[['1.63', 'discordnudes'], ['0.70', 'cock'], ['0.68', 'sluttyconfessions'], ['0.59', 'gaybrosgonewild'], ['0.48', 'femboys']]","(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",127386,3.2028637369883666
25,cowboys,NFCE,6.129999999999999,"[['2.86', 'bigtiddygothgf'], ['1.73', 'pawg'], ['0.75', 'hairypussy'], ['0.52', 'sluttyconfessions'], ['0.27', 'realgirls']]","(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)",182938,3.3508620406913816
6,Colts,AFCS,2.71,"[['1.47', 'jerkofftocelebs'], ['0.92', 'bigboobsgw'], ['0.32', 'chubby']]","(1.0, 0.4980392156862745, 0.054901960784313725)",79620,3.4036674202461694
16,minnesotavikings,NFCN,4.97,"[['1.64', 'hotwife'], ['1.55', 'celebnsfw'], ['0.82', 'dadwouldbeproud'], ['0.50', 'nudes'], ['0.46', 'sluttyconfessions']]","(0.5803921568627451, 0.403921568627451, 0.7411764705882353)",143093,3.47326563843095
10,miamidolphins,AFCE,3.41,"[['1.14', 'truefmk'], ['0.78', 'bigasses'], ['0.68', 'milf'], ['0.61', 'hotmoms'], ['0.20', 'gonewild']]","(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",97173,3.5092052319059825
3,bengals,AFCN,3.58,"[['1.00', 'cock'], ['0.84', 'gaybrosgonewild'], ['0.82', 'milf'], ['0.68', 'femboys'], ['0.24', 'gonewild']]","(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",96211,3.7209882445874176
0,steelers,AFCN,8.52,"[['1.58', 'tinytits'], ['1.57', 'godpussy'], ['1.50', 'celebnsfw'], ['1.15', 'milf'], ['0.71', 'normalnudes'], ['0.60', 'asshole'], ['0.55', 'curvy'], ['0.41', 'hentai'], ['0.27', 'bbw'], ['0.18', 'chubby']]","(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",165941,5.1343549815898415
17,GreenBayPackers,NFCN,11.620000000000003,"[['1.62', 'assholegonewild'], ['1.16', 'booty_queens'], ['0.98', 'altgonewild'], ['0.94', 'normalnudes'], ['0.63', 'demeyesdoe'], ['0.62', 'collegesluts'], ['0.59', 'bustypetite'], ['0.58', 'bigasses'], ['0.53', 'nude_selfie'], ['0.51', 'milf'], ['0.40', 'ass'], ['0.39', 'penis'], ['0.38', 'asiansgonewild'], ['0.37', 'curvy'], ['0.34', 'bigboobsgw'], ['0.31', 'cock'], ['0.31', 'realgirls'], ['0.24', 'chubby'], ['0.23', 'boobs'], ['0.23', 'gonewild'], ['0.14', 'gonewild30plus'], ['0.12', 'breedingmaterial']]","(0.5803921568627451, 0.403921568627451, 0.7411764705882353)",223944,5.188797199299826
12,KansasCityChiefs,AFCW,9.100000000000001,"[['4.10', 'celebnsfw'], ['1.53', 'underweargw'], ['1.29', 'demeyesdoe'], ['0.71', 'maturemilf'], ['0.61', 'sluttyconfessions'], ['0.54', '40plusgonewild'], ['0.32', 'realgirls']]","(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)",134857,6.747888504119179
29,Seahawks,NFCW,10.43,"[['2.70', 'verifiedfeet'], ['1.75', 'nsfw'], ['1.72', 'godpussy'], ['1.05', 'smallboobs'], ['0.57', 'breedingmaterial'], ['0.56', 'legalteens'], ['0.50', 'naughtywives'], ['0.49', 'adorableporn'], ['0.32', 'asiansgonewild'], ['0.25', 'realgirls'], ['0.21', 'pussy'], ['0.19', 'chubby'], ['0.12', 'gonewild']]","(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)",148577,7.019929060352544
18,CHIBears,NFCN,10.33,"[['2.15', 'pawg'], ['1.52', 'cumsluts'], ['1.13', 'prettyaltgirls'], ['1.08', 'celebnsfw'], ['0.99', 'feetpics'], ['0.68', 'demeyesdoe'], ['0.59', 'jerkofftocelebs'], ['0.45', 'slut'], ['0.34', 'collegesluts'], ['0.33', 'adorableporn'], ['0.27', 'massivecock'], ['0.25', 'boobs'], ['0.25', 'gonewild'], ['0.16', 'gonewild30plus'], ['0.14', 'pussy']]","(0.5803921568627451, 0.403921568627451, 0.7411764705882353)",146051,7.072871805054399
